Model,Base_Model,Model_Type,Model_Directory,Model_Timestamp,Dataset,Accuracy,Precision,Recall,F1_Score,IoU,Dice,Specificity,Avg_Inference_Time_ms,Std_Inference_Time_ms,Median_Inference_Time_ms,Min_Inference_Time_ms,Max_Inference_Time_ms,P95_Inference_Time_ms,P99_Inference_Time_ms,CV_Percent,Measurement_Count,Optimal_Threshold
resunet_advanced_finetuned,resunet_advanced,finetuned,resunet_advanced_finetuned,2025-08-28 07:44:07.383173,Merged_DTS_SpheroSeg,0.9917867415318662,0.9745984507290113,0.9397213865053083,0.9538494990068552,0.9186623170290159,0.9538494990068552,0.9969330398162065,93.19325269199908,0.04206003467033765,93.19197316654027,93.08966714888811,93.31126883625984,93.25614992994815,93.29469664022326,0.04513205994573964,100,0.5
resunet_advanced_pretrained,resunet_advanced,pretrained,resunet_advanced_pretrained,2025-08-27 10:44:51,Merged_DTS_SpheroSeg,0.9924860075481741,0.9767181877030002,0.9459703762120484,0.9578970481534571,0.9248163444223053,0.9578970481534571,0.9968090974776929,93.3998405188322,0.0452430936525027,93.39819918386638,93.29896420240402,93.50824123248458,93.48234941717237,93.50807757582515,0.04844022580892988,100,0.5
resunet_advanced_mini_finetuned,resunet_advanced_mini,finetuned,resunet_advanced_mini_finetuned,2025-08-26 19:44:00,Merged_DTS_SpheroSeg,0.9916336604259667,0.972638792323819,0.9394746826535313,0.9512390993672674,0.9154577187561858,0.9512390993672674,0.9962919174401634,55.05112608894706,0.03953224987342222,55.04861753433943,54.93885511532426,55.14311604201794,55.11185759678483,55.12573847081512,0.07181006580964262,100,0.5
resunet_advanced_mini_pretrained,resunet_advanced_mini,pretrained,resunet_advanced_mini_pretrained,2025-08-26 04:37:17,Merged_DTS_SpheroSeg,0.9917869811203108,0.9732858565289912,0.9437128493494839,0.9550574005090541,0.9194964546121429,0.9550574005090541,0.9963063634787683,55.012404904700816,0.03680066139201138,55.00936391763389,54.92600332945585,55.107786785811186,55.080631538294256,55.10066979564726,0.06689520564636643,100,0.5
lightm_unet_finetuned,lightm_unet,finetuned,lightm_unet_finetune_20250824_112621,2025-08-24 11:26:21,Merged_DTS_SpheroSeg,0.9911332294213292,0.9788852813507983,0.9279065072566075,0.9484179950513215,0.9097069526764385,0.9484179950513215,0.9977243489809746,171.45915222354233,0.16855205520249084,171.47183208726346,170.65359698608518,171.81689105927944,171.6847203206271,171.7380090104416,0.09830449586192908,100,0.5
lightm_unet_pretrained,lightm_unet,pretrained,lightm_unet_pretrain_20250823_121031,2025-08-23 12:10:31,Merged_DTS_SpheroSeg,0.99058355269652,0.9822792948014918,0.9160725408432816,0.9443875070437617,0.9010983681420006,0.9443875070437617,0.9979136783654863,172.4145431118086,0.1611750470200072,172.4191033281386,172.00602404773235,172.7563589811325,172.69097322132438,172.7546099293977,0.09348112062419658,100,0.5
unet_finetuned,unet,finetuned,unet_finetune_20250822_212920,2025-08-22 21:29:20,Merged_DTS_SpheroSeg,0.9919259405463671,0.9764524211344685,0.9360672917471053,0.9522754164656841,0.9156451995960003,0.9522754164656841,0.9972134470463346,44.32194319553673,0.055224359547900836,44.32105575688183,44.197713024914265,44.458205346018076,44.41009568981826,44.438446685671806,0.12459823637304328,100,0.5
unet_pretrained,unet,pretrained,unet_pretrain_20250822_104236,2025-08-22 10:42:36,Merged_DTS_SpheroSeg,0.9930083038060541,0.9740963968457858,0.9519101062353392,0.9599352485117959,0.9286717363530604,0.9599352485117959,0.9970963265463232,44.11287812050432,0.05855830291874392,44.11618853919208,43.93737204372883,44.26216194406152,44.20608894433826,44.231175975874066,0.13274650263983828,100,0.5
cbam_unet_finetuned,cbam_unet,finetuned,resunet_cbam_finetune_20250821_095214,2025-08-21 09:52:14,Merged_DTS_SpheroSeg,0.9924268432407548,0.9750053246591879,0.9499395336322336,0.9594340264032181,0.9271821823790681,0.9594340264032181,0.9966058795259589,200.2328704437241,0.08523807253227637,200.22877561859787,200.0645617954433,200.59838891029358,200.3661044407636,200.50293005537242,0.042569470408822176,100,0.5
cbam_unet_pretrained,cbam_unet,pretrained,resunet_cbam_pretrain_20250820_185256,2025-08-20 18:52:56,Merged_DTS_SpheroSeg,0.9933478867340837,0.9752308798555828,0.957161729021966,0.9637112978619382,0.934409466033514,0.9637112978619382,0.9963495724849851,200.30159130692482,1.1061535450526994,200.17838198691607,200.01477282494307,211.2765572965145,200.34072429407388,200.67045417614287,0.5522440125589044,100,0.5
resunet_small_finetuned,resunet_small,finetuned,resunet_small_finetune_20250819_122050,2025-08-19 12:20:50,Merged_DTS_SpheroSeg,0.9910715269738254,0.9722851769679512,0.930846410151271,0.94611509592474,0.908160826533441,0.94611509592474,0.9963079630075447,57.98210745677352,0.0420996417544097,57.98388132825494,57.87211563438177,58.095242362469435,58.04816405288875,58.084646170027554,0.07260798822429071,100,0.5
pspnet_new_finetuned,pspnet_new,finetuned,pspnet_new_finetune_20250727_122023,2025-07-27 12:20:23,Merged_DTS_SpheroSeg,0.9908276315526242,0.9708699199113472,0.9317173414438449,0.9462467277983545,0.9057822747629427,0.9462467277983545,0.9967995356904363,46.642692727036774,0.13674930643068445,46.644308837130666,46.20277602225542,46.913531608879566,46.86259450390935,46.89938153140247,0.29318484511812226,100,0.5
pspnet_new_pretrained,pspnet_new,pretrained,pspnet_new_pretrained_20250725_102928,2025-07-25 10:29:28,Merged_DTS_SpheroSeg,0.9914737716390294,0.9720063642411059,0.9328255465308172,0.9470312286375079,0.9072247191072542,0.9470312286375079,0.9966923516447506,46.51311156805605,0.18582312173861298,46.49477847851813,45.990982092916965,46.99348611757159,46.82004661299288,46.95863600820303,0.3995069679798229,100,0.5
resunet_small_pretrained,resunet_small,pretrained,resunet_small_pretrain_20250723_145015,2025-07-23 14:50:15,Merged_DTS_SpheroSeg,0.9916975041951936,0.981108891052534,0.9313492880175942,0.9523709573116649,0.9148625235160102,0.9523709573116649,0.9976870676363303,57.98182994592935,0.04563435650564018,57.97308753244579,57.89942620322108,58.15611407160759,58.0605469411239,58.102666111662984,0.07870458132866152,100,0.5
hrnet_finetuned,hrnet,finetuned,hrnet_finetuned,2025-07-15 19:03:03,Merged_DTS_SpheroSeg,0.9915166710730975,0.9754469832889745,0.9354736140435066,0.9513960479066856,0.9142827356160312,0.9513960479066856,0.9965327027506521,26.88666633795947,0.02203115982382072,26.8858028575778,26.833028066903353,26.99937717989087,26.91771297249943,26.928432248532772,0.08194083843230655,100,0.5
hrnet_pretrained,hrnet,pretrained,hrnet_pretrained,2025-07-09 11:09:47,Merged_DTS_SpheroSeg,0.9920781110289988,0.9764837762805136,0.940525446807369,0.9549370680538634,0.9195810999086593,0.9549370680538634,0.9969435213462707,26.89350971020758,0.020680122168553357,26.89157659187913,26.854819152504206,26.99406910687685,26.921692630276084,26.98139608837664,0.07689633071842647,100,0.5
