Model,Base_Model,Model_Type,Dataset,N_Images,Accuracy,Precision,Recall,F1_Score,IoU,Dice,Specificity,IoU_Std,IoU_Min,IoU_Max,IoU_Median,Inference_Time_ms
cbam_unet_pretrained,cbam_unet,pretrained,DTS,366,0.9917005997537915,0.9670229646196454,0.9471740555974706,0.952892814324772,0.9182525142479021,0.952892814324772,0.9959642129167666,0.10607271198059175,0.0,0.9890535706944044,0.946817228975914,200.3015913069248
resunet_advanced_pretrained,resunet_advanced,pretrained,DTS,366,0.9902180661269224,0.9596866022417787,0.9421295559111398,0.945701364028223,0.906347107651529,0.945701364028223,0.9956510485821659,0.11398508051284204,0.0,0.9873069362538612,0.9392359666427694,93.3998405188322
hrnet_pretrained,hrnet,pretrained,DTS,366,0.9899141905737705,0.9651372648322302,0.9360671975626245,0.9448513881554069,0.905530117056776,0.9448513881554069,0.9961160117021671,0.11929446462196909,0.0,0.989729067162602,0.9438380835247391,26.89350971020758
unet_pretrained,unet,pretrained,DTS,366,0.9895708443688565,0.9576602758211931,0.9353198870498654,0.9401916636591487,0.8982916221033616,0.9401916636591487,0.9956553914676861,0.12605489952990737,0.0,0.9887453362523512,0.9404198203764806,44.11287812050432
resunet_advanced_mini_pretrained,resunet_advanced_mini,pretrained,DTS,366,0.9894134802896468,0.962025275128391,0.9312493903842739,0.94122458616412,0.8979820859036851,0.94122458616412,0.9960024936596632,0.11233699561244832,0.0,0.989235075200689,0.929679700221199,55.012404904700816
cbam_unet_finetuned,cbam_unet,finetuned,DTS,366,0.9888324476982076,0.9594255193184669,0.9330404548080267,0.9406453990411175,0.8973551930830562,0.9406453990411175,0.995666283064877,0.11008407686297697,0.0,0.987961465438436,0.9225840032397415,200.2328704437241
resunet_small_pretrained,resunet_small,pretrained,DTS,366,0.988119881009795,0.9644095311449463,0.9208705457589693,0.9357810571827792,0.8900938595075709,0.9357810571827792,0.9964745463883274,0.1224496202674731,0.0,0.9880741428290158,0.9291081252066504,57.98182994592935
resunet_advanced_finetuned,resunet_advanced,finetuned,DTS,366,0.9877348675753901,0.954195096571421,0.9186371541028011,0.9312372770990317,0.8835906228404923,0.9312372770990317,0.99573506278847,0.12463680878158677,0.0,0.988235414891542,0.9142655574413101,93.19325269199908
hrnet_finetuned,hrnet,finetuned,DTS,366,0.988260386420078,0.9657751643282783,0.9104769958151212,0.9310412073081087,0.8834589406145484,0.9310412073081087,0.9960682861686994,0.1288105150016455,0.0,0.988952767444482,0.9221674442343819,26.88666633795947
unet_finetuned,unet,finetuned,DTS,366,0.9879029357368178,0.9518655547637687,0.920292632425156,0.9288135481522071,0.8794735225810545,0.9288135481522071,0.9952197328348914,0.12985063927798773,0.0,0.9877997345979364,0.9190175226260122,44.32194319553673
lightm_unet_pretrained,lightm_unet,pretrained,DTS,366,0.9872890013814624,0.9598061996510188,0.9101443556111629,0.9279073065273385,0.8761170801310207,0.9279073065273385,0.9955845233468654,0.12438161916492459,0.0,0.988848160157902,0.9199035167970551,172.4145431118086
lightm_unet_finetuned,lightm_unet,finetuned,DTS,366,0.987022259196297,0.95151446854616,0.9160818415471166,0.9256113669428144,0.8744459912185527,0.9256113669428144,0.9952396582824946,0.13596672868552065,0.0,0.9885739243145764,0.9225063769106205,171.45915222354233
pspnet_new_pretrained,pspnet_new,pretrained,DTS,366,0.9876600640719054,0.9500538600809666,0.9194888600868272,0.9225724487277676,0.873221792433666,0.9225724487277676,0.9943462418900151,0.15059870179659993,0.0006468003775915,0.9845520818443568,0.9226176806920072,46.51311156805605
resunet_advanced_mini_finetuned,resunet_advanced_mini,finetuned,DTS,366,0.9877507934153406,0.959461441562264,0.9056690715353268,0.9224843037934,0.8730039708536874,0.9224843037934,0.9959833283132189,0.14417429106739788,0.0,0.989846463732966,0.9124516307723448,55.05112608894706
pspnet_new_finetuned,pspnet_new,finetuned,DTS,366,0.9862503249788545,0.948251212107005,0.915530002992225,0.9211315663084986,0.869568777991084,0.9211315663084986,0.9945275354386409,0.1474170637666793,0.0,0.9842620723491782,0.9242919492674055,46.642692727036774
resunet_small_finetuned,resunet_small,finetuned,DTS,366,0.9869690358313055,0.9496660121350922,0.9005778996523993,0.9141834263200297,0.8632017369032657,0.9141834263200297,0.995568407784866,0.16041661213526953,0.0,0.988619119878604,0.9063020406673739,57.98210745677352
