Base_Model,Model_Type,SpheroSeg_IoU,DTS_IoU,IoU_Drop,IoU_Drop_Percent
hrnet,pretrained,0.927456535932839,0.905530117056776,0.02192641887606306,2.364145167623342
cbam_unet,pretrained,0.9434652766821113,0.9182525142479021,0.025212762434209224,2.6723572194278375
resunet_advanced,pretrained,0.9351681677884675,0.906347107651529,0.028821060136938415,3.0819120164339964
resunet_advanced_mini,pretrained,0.9315550441179555,0.8979820859036851,0.03357295821427042,3.603969344190394
resunet_small,pretrained,0.9287451131440173,0.8900938595075709,0.03865125363644639,4.161664281129076
lightm_unet,pretrained,0.9151001314069603,0.8761170801310207,0.038983051275939595,4.259976579393931
cbam_unet,finetuned,0.9438999129798955,0.8973551930830562,0.04654471989683928,4.931107552483762
unet,pretrained,0.9456994879845915,0.8982916221033616,0.047407865881229916,5.012994770914198
hrnet,finetuned,0.931559165892513,0.8834589406145484,0.04810022527796454,5.163410660221503
pspnet_new,pretrained,0.9262830210406895,0.873221792433666,0.05306122860702345,5.728403457877113
resunet_advanced,finetuned,0.9383196525159985,0.8835906228404923,0.05472902967550619,5.832663690753622
lightm_unet,finetuned,0.9294703705839211,0.8744459912185527,0.055024379365368414,5.919971319881929
unet,finetuned,0.9359190645078996,0.8794735225810545,0.056445541926845144,6.031028116360025
pspnet_new,finetuned,0.9260795792323153,0.869568777991084,0.05651080124123131,6.10215390863889
resunet_advanced_mini,finetuned,0.939252621868459,0.8730039708536874,0.06624865101477162,7.053336820394806
resunet_small,finetuned,0.9333599487457599,0.8632017369032657,0.07015821184249416,7.516736917710267
