Model,Base_Model,Model_Type,Dataset,N_Images,Accuracy,Precision,Recall,F1_Score,IoU,Dice,Specificity,IoU_Std,IoU_Min,IoU_Max,IoU_Median,Inference_Time_ms
resunet_advanced_finetuned,resunet_advanced,finetuned,DTS,366,0.9877348675753901,0.954195096571421,0.9186371541028011,0.9312372770990317,0.8835906228404923,0.9312372770990317,0.99573506278847,0.12463680878158677,0.0,0.988235414891542,0.9142655574413101,93.19325269199908
resunet_advanced_finetuned,resunet_advanced,finetuned,SpheroSeg,653,0.994057776551882,0.9860343276381661,0.9515388888932373,0.9665234243028173,0.9383196525159985,0.9665234243028173,0.9976044940155198,0.07209867780374081,0.3069683826888222,0.9913726698505624,0.9617069944331148,93.19325269199908
resunet_advanced_pretrained,resunet_advanced,pretrained,DTS,366,0.9902180661269224,0.9596866022417787,0.9421295559111398,0.945701364028223,0.906347107651529,0.945701364028223,0.9956510485821659,0.11398508051284204,0.0,0.9873069362538612,0.9392359666427694,93.3998405188322
resunet_advanced_pretrained,resunet_advanced,pretrained,SpheroSeg,653,0.9937571661395647,0.986264221820622,0.9481231177589589,0.9647326077091014,0.9351681677884675,0.9647326077091014,0.9974581723563497,0.07440735149872366,0.313492141453831,0.990741810062748,0.9586300812371844,93.3998405188322
resunet_advanced_mini_finetuned,resunet_advanced_mini,finetuned,DTS,366,0.9877507934153406,0.959461441562264,0.9056690715353268,0.9224843037934,0.8730039708536874,0.9224843037934,0.9959833283132189,0.14417429106739788,0.0,0.989846463732966,0.9124516307723448,55.05112608894706
resunet_advanced_mini_finetuned,resunet_advanced_mini,finetuned,SpheroSeg,653,0.9938099687351385,0.9800245662575544,0.9584223911822646,0.9673558760595116,0.939252621868459,0.9673558760595116,0.9964648785741017,0.06542748702223662,0.4032140033102662,0.9927033999460936,0.9620186742804228,55.05112608894706
resunet_advanced_mini_pretrained,resunet_advanced_mini,pretrained,DTS,366,0.9894134802896468,0.962025275128391,0.9312493903842739,0.94122458616412,0.8979820859036851,0.94122458616412,0.9960024936596632,0.11233699561244832,0.0,0.989235075200689,0.929679700221199,55.012404904700816
resunet_advanced_mini_pretrained,resunet_advanced_mini,pretrained,SpheroSeg,653,0.9931173047099325,0.979597300315545,0.9506984940374884,0.9628105552567505,0.9315550441179555,0.9628105552567505,0.996476679487639,0.07481082580366409,0.4661370350998713,0.9909846644397208,0.9577273018517332,55.012404904700816
lightm_unet_finetuned,lightm_unet,finetuned,DTS,366,0.987022259196297,0.95151446854616,0.9160818415471166,0.9256113669428144,0.8744459912185527,0.9256113669428144,0.9952396582824946,0.13596672868552065,0.0,0.9885739243145764,0.9225063769106205,171.45915222354233
lightm_unet_finetuned,lightm_unet,finetuned,SpheroSeg,653,0.9934373873116229,0.9942263494771344,0.9345341146833668,0.9612008830876364,0.9294703705839211,0.9612008830876364,0.999116993384717,0.08365007970067517,0.3745906589225308,0.9916488706008992,0.9570529318738564,171.45915222354233
lightm_unet_pretrained,lightm_unet,pretrained,DTS,366,0.9872890013814624,0.9598061996510188,0.9101443556111629,0.9279073065273385,0.8761170801310207,0.9279073065273385,0.9955845233468654,0.12438161916492459,0.0,0.988848160157902,0.9199035167970551,172.4145431118086
lightm_unet_pretrained,lightm_unet,pretrained,SpheroSeg,653,0.9924301159144543,0.9948752409348351,0.9193952296563833,0.9536244953883418,0.9151001314069603,0.9536244953883418,0.9992191465688786,0.08040870890183091,0.4650278817726938,0.9924789120882646,0.941257258092556,172.4145431118086
unet_finetuned,unet,finetuned,DTS,366,0.9879029357368178,0.9518655547637687,0.920292632425156,0.9288135481522071,0.8794735225810545,0.9288135481522071,0.9952197328348914,0.12985063927798773,0.0,0.9877997345979364,0.9190175226260122,44.32194319553673
unet_finetuned,unet,finetuned,SpheroSeg,653,0.9941807946968955,0.990233114996147,0.9449088312751811,0.9654255601145858,0.9359190645078996,0.9654255601145858,0.9983309040163016,0.06861636518007924,0.3836888548692249,0.99140654873312,0.958339141505664,44.32194319553673
unet_pretrained,unet,pretrained,DTS,366,0.9895708443688565,0.9576602758211931,0.9353198870498654,0.9401916636591487,0.8982916221033616,0.9401916636591487,0.9956553914676861,0.12605489952990737,0.0,0.9887453362523512,0.9404198203764806,44.11287812050432
unet_pretrained,unet,pretrained,SpheroSeg,653,0.9949349656039321,0.983308679073965,0.9612087589487902,0.9710013312929122,0.9456994879845915,0.9710013312929122,0.9979039563147476,0.059734680127944625,0.425940608332132,0.9916291502532358,0.9644070099171308,44.11287812050432
cbam_unet_finetuned,cbam_unet,finetuned,DTS,366,0.9888324476982076,0.9594255193184669,0.9330404548080267,0.9406453990411175,0.8973551930830562,0.9406453990411175,0.995666283064877,0.11008407686297697,0.0,0.987961465438436,0.9225840032397415,200.2328704437241
cbam_unet_finetuned,cbam_unet,finetuned,SpheroSeg,653,0.9944414661635301,0.9837376504703729,0.9594112990987874,0.9699648650165852,0.9438999129798955,0.9699648650165852,0.9971325139895975,0.06135019164537151,0.3160208457151838,0.9907408339288052,0.963554034720276,200.2328704437241
