Model,Base_Model,Model_Type,Dataset,N_Images,Accuracy,Precision,Recall,F1_Score,IoU,Dice,Specificity,IoU_Std,IoU_Min,IoU_Max,IoU_Median,Inference_Time_ms
unet_pretrained,unet,pretrained,SpheroSeg,653,0.9949349656039321,0.983308679073965,0.9612087589487902,0.9710013312929122,0.9456994879845915,0.9710013312929122,0.9979039563147476,0.059734680127944625,0.425940608332132,0.9916291502532358,0.9644070099171308,44.11287812050432
cbam_unet_finetuned,cbam_unet,finetuned,SpheroSeg,653,0.9944414661635301,0.9837376504703729,0.9594112990987874,0.9699648650165852,0.9438999129798955,0.9699648650165852,0.9971325139895975,0.06135019164537151,0.3160208457151838,0.9907408339288052,0.963554034720276,200.2328704437241
cbam_unet_pretrained,cbam_unet,pretrained,SpheroSeg,653,0.9942711746893469,0.9798313346432598,0.9627597205585133,0.969774950196705,0.9434652766821113,0.969774950196705,0.9965655626870801,0.0606527579185043,0.3500952773848813,0.9910602952415428,0.9641766059845156,200.30159130692476
resunet_advanced_mini_finetuned,resunet_advanced_mini,finetuned,SpheroSeg,653,0.9938099687351385,0.9800245662575544,0.9584223911822646,0.9673558760595116,0.939252621868459,0.9673558760595116,0.9964648785741017,0.06542748702223662,0.4032140033102662,0.9927033999460936,0.9620186742804228,55.05112608894706
resunet_advanced_finetuned,resunet_advanced,finetuned,SpheroSeg,653,0.994057776551882,0.9860343276381661,0.9515388888932373,0.9665234243028173,0.9383196525159985,0.9665234243028173,0.9976044940155198,0.07209867780374081,0.3069683826888222,0.9913726698505624,0.9617069944331148,93.19325269199908
unet_finetuned,unet,finetuned,SpheroSeg,653,0.9941807946968955,0.990233114996147,0.9449088312751811,0.9654255601145858,0.9359190645078996,0.9654255601145858,0.9983309040163016,0.06861636518007924,0.3836888548692249,0.99140654873312,0.958339141505664,44.32194319553673
resunet_advanced_pretrained,resunet_advanced,pretrained,SpheroSeg,653,0.9937571661395647,0.986264221820622,0.9481231177589589,0.9647326077091014,0.9351681677884675,0.9647326077091014,0.9974581723563497,0.07440735149872366,0.313492141453831,0.990741810062748,0.9586300812371844,93.3998405188322
resunet_small_finetuned,resunet_small,finetuned,SpheroSeg,653,0.9933709324227723,0.9849629937042856,0.9478116089913735,0.9640124788884827,0.9333599487457599,0.9640124788884827,0.9967224763482803,0.07007025597345519,0.4261783858642806,0.9910548106506628,0.9540906237473245,57.98210745677352
hrnet_finetuned,hrnet,finetuned,SpheroSeg,653,0.993341786207868,0.9808679415425959,0.9494839697427242,0.9628047334489203,0.931559165892513,0.9628047334489203,0.996793003622007,0.07447185954147467,0.2884762709200911,0.990501988157872,0.9567036388402412,26.88666633795947
resunet_advanced_mini_pretrained,resunet_advanced_mini,pretrained,SpheroSeg,653,0.9931173047099325,0.979597300315545,0.9506984940374884,0.9628105552567505,0.9315550441179555,0.9628105552567505,0.996476679487639,0.07481082580366409,0.4661370350998713,0.9909846644397208,0.9577273018517332,55.012404904700816
lightm_unet_finetuned,lightm_unet,finetuned,SpheroSeg,653,0.9934373873116229,0.9942263494771344,0.9345341146833668,0.9612008830876364,0.9294703705839211,0.9612008830876364,0.999116993384717,0.08365007970067517,0.3745906589225308,0.9916488706008992,0.9570529318738564,171.45915222354233
resunet_small_pretrained,resunet_small,pretrained,SpheroSeg,653,0.9937027263787402,0.9904687160543364,0.937222518747543,0.9616694311970742,0.9287451131440173,0.9616694311970742,0.9983666737263289,0.06737479617649549,0.5427941962993312,0.9912091079406254,0.9495293690472866,57.98182994592935
hrnet_pretrained,hrnet,pretrained,SpheroSeg,653,0.9932909669043641,0.9828433830034412,0.9430242511313762,0.9605899912435035,0.927456535932839,0.9605899912435035,0.9974073322647118,0.07469329154441663,0.2848625925707663,0.9900873218408764,0.9523452509254486,26.89350971020758
pspnet_new_pretrained,pspnet_new,pretrained,SpheroSeg,653,0.9936113167685352,0.9843105243063599,0.9403006265285208,0.960740131312799,0.9262830210406895,0.960740131312799,0.9980073228089668,0.05751211545162046,0.618135080867589,0.986925004076671,0.9422256985982024,46.51311156805605
pspnet_new_finetuned,pspnet_new,finetuned,SpheroSeg,653,0.9933931663244461,0.9835474804877471,0.940790183516269,0.9603235258156397,0.9260795792323153,0.9603235258156397,0.9980729692159449,0.06506858783693464,0.5320847345295663,0.9860226958206476,0.9469215499841532,46.642692727036774
lightm_unet_pretrained,lightm_unet,pretrained,SpheroSeg,653,0.9924301159144543,0.9948752409348351,0.9193952296563833,0.9536244953883418,0.9151001314069603,0.9536244953883418,0.9992191465688786,0.08040870890183091,0.4650278817726938,0.9924789120882646,0.941257258092556,172.4145431118086
