Scenario,Rank,Model,TOPSIS_Score,IoU,Time_ms
"Balanced (60% acc, 40% speed)",1,HRNet,0.9854080457031573,0.9195810999086594,26.89350971020758
"Balanced (60% acc, 40% speed)",2,hrnet (FT),0.9802960990866626,0.9142827356160312,26.88666633795947
"Balanced (60% acc, 40% speed)",3,U-Net,0.9005578890766192,0.9286717363530604,44.11287812050432
"Accuracy-focused (80% acc, 20% speed)",1,HRNet,0.9620500826414915,0.9195810999086594,26.89350971020758
"Accuracy-focused (80% acc, 20% speed)",2,hrnet (FT),0.9491524861519639,0.9142827356160312,26.88666633795947
"Accuracy-focused (80% acc, 20% speed)",3,U-Net,0.8999123132408652,0.9286717363530604,44.11287812050432
"Speed-focused (40% acc, 60% speed)",1,HRNet,0.9934607013078908,0.9195810999086594,26.89350971020758
"Speed-focused (40% acc, 60% speed)",2,hrnet (FT),0.9911451764317288,0.9142827356160312,26.88666633795947
"Speed-focused (40% acc, 60% speed)",3,U-Net,0.9006436279833273,0.9286717363530604,44.11287812050432
"Clinical use (70% acc, 30% speed)",1,HRNet,0.9774893007383154,0.9195810999086594,26.89350971020758
"Clinical use (70% acc, 30% speed)",2,hrnet (FT),0.9696849912918792,0.9142827356160312,26.88666633795947
"Clinical use (70% acc, 30% speed)",3,U-Net,0.9004067515562038,0.9286717363530604,44.11287812050432
